Date,601318 CH EQUITY,2318 HK EQUITY
2016/6/29,32.16,33.6
2016/6/30,32.04,34.15
2016/7/4,32.44,34.75
2016/7/5,32.07,33.95
2016/7/6,31.99,33.35
2016/7/7,31.95,33.45
2016/7/8,31.78,33.15
2016/7/11,31.79,33.8
2016/7/12,32.41,34.45
2016/7/13,32.46,34.95
2016/7/14,32.49,35.3
2016/7/15,32.59,36.6
2016/7/18,32.69,36.75
2016/7/19,32.38,36.1
2016/7/20,32.31,36.5
2016/7/21,32.55,36.5
2016/7/22,32.3,36.45
2016/7/25,32.3,36.3
2016/7/26,32.52,36.65
2016/7/27,32.79,37
2016/7/28,32.45,36.9
2016/7/29,32.37,36.2
2016/8/1,32.28,37.05
2016/8/3,32.18,36.05
2016/8/4,32.15,36.15
2016/8/5,32.18,36.7
2016/8/8,32.27,37.55
2016/8/9,32.54,37.5
2016/8/10,32.54,37.25
2016/8/11,32.79,38.05
2016/8/12,33.48,39.05
2016/8/15,34.56,40.55
2016/8/16,33.92,40.1
2016/8/17,33.97,39.7
2016/8/18,34.43,40.7
2016/8/19,34.52,41.05
2016/8/22,34.46,40.8
2016/8/23,34.84,40.7
2016/8/24,34.33,39.9
2016/8/25,34.09,40
2016/8/26,34.09,40.1
2016/8/29,34.26,39.8
2016/8/30,34.21,40.4
2016/8/31,34.22,40.15
2016/9/1,34.37,40.9
2016/9/2,34.86,41.6
2016/9/5,34.76,41.85
2016/9/6,35.14,42.35
2016/9/7,35.21,42.8
2016/9/8,35.38,43.3
2016/9/9,35.46,43.05
2016/9/12,35.12,41.55
2016/9/13,34.72,41.1
2016/9/14,34.3,40.9
2016/9/19,34.97,42.25
2016/9/20,34.85,42.4
2016/9/21,34.67,42.65
2016/9/22,35.01,42.15
2016/9/23,34.89,41.5
2016/9/26,34.38,41
2016/9/27,34.36,41.35
2016/9/28,34.14,40.9
2016/9/29,34.19,41
2016/9/30,34.16,40.2
2016/10/11,34.38,41.15
2016/10/12,34.3,41
2016/10/13,34.12,40.3
2016/10/14,34.11,40.7
2016/10/17,33.94,40.2
2016/10/18,34.2,40.55
2016/10/19,34.12,40.4
2016/10/20,34.14,40.3
2016/10/24,34.49,40.7
2016/10/25,34.55,41.05
2016/10/26,34.42,40.65
2016/10/27,34.19,40.5
2016/10/28,34.53,40.6
2016/10/31,34.61,40.95
2016/11/1,35.06,41.6
2016/11/2,34.61,40.85
2016/11/3,34.97,40.65
2016/11/4,34.93,40.65
2016/11/7,34.99,41.05
2016/11/8,35,41.4
2016/11/9,34.71,40.15
2016/11/10,34.94,40.95
2016/11/11,34.99,40.65
2016/11/14,34.95,40.25
2016/11/15,34.96,40.75
2016/11/16,35.02,40.55
2016/11/17,35,40.4
2016/11/18,35.01,40.45
2016/11/21,35.9,41.8
2016/11/22,36.12,42.65
2016/11/23,35.98,42.55
2016/11/24,36.42,42.35
2016/11/25,36.78,43.25
2016/11/28,36.61,43.35
2016/11/29,36.77,43
2016/11/30,36.33,42.9
2016/12/1,36.42,42.7
2016/12/2,36.27,41.9
2016/12/5,36.26,41.4
2016/12/6,36.17,41.4
2016/12/7,36.46,41.9
2016/12/8,36.5,42.05
2016/12/9,36.86,42.3
2016/12/12,36.9,41.75
2016/12/13,36.65,42.2
2016/12/14,37.03,41.8
2016/12/15,35.6,40.95
2016/12/16,35.48,40.45
2016/12/19,35.4,39.75
2016/12/20,34.66,39.15
2016/12/21,34.74,39.2
2016/12/22,34.77,38.6
2016/12/23,34.73,38.4
2016/12/28,35.29,38.5
2016/12/29,35.13,38.7
2016/12/30,35.43,38.8
2017/1/3,35.68,39.35
2017/1/4,35.65,39.25
2017/1/5,35.73,39.75
2017/1/6,35.44,39.7
2017/1/9,35.42,39.7
2017/1/10,35.23,39.8
2017/1/11,35.23,40.2
2017/1/12,35.21,40.05
2017/1/13,35.56,40.45
2017/1/16,36.19,40.1
2017/1/17,35.98,40.1
2017/1/18,36.21,40.35
2017/1/19,36.05,40.65
2017/1/20,36.26,40.5
2017/1/23,36.2,40.3
2017/1/24,36.18,40.15
2017/1/25,36.43,40.05
2017/1/26,36.51,40.2
2017/2/3,35.62,39.25
2017/2/6,35.94,41.05
2017/2/7,36.06,41.1
2017/2/8,36.02,41.1
2017/2/9,36.11,41.55
2017/2/10,36.2,41.6
2017/2/13,36.31,42.2
2017/2/14,36.1,42.1
2017/2/15,36.32,42.35
2017/2/16,36.3,42.25
2017/2/17,36.26,42.1
2017/2/20,36.82,42.1
2017/2/21,36.77,42.25
2017/2/22,36.82,42.55
2017/2/23,36.52,42.55
2017/2/24,36.56,42.15
2017/2/27,36.32,41.8
2017/2/28,36.23,41.4
2017/3/1,36.16,41.3
2017/3/2,35.86,41.25
2017/3/3,35.85,41.2
2017/3/6,35.83,41.4
2017/3/7,35.96,41.7
2017/3/8,35.82,41.8
2017/3/9,35.78,41.45
2017/3/10,35.6,41.45
2017/3/13,35.97,41.75
2017/3/14,35.94,41.95
2017/3/15,35.96,42
2017/3/16,36.07,43
2017/3/17,35.75,43
2017/3/20,35.83,43.4
2017/3/21,36.27,44.2
2017/3/22,36,43.25
2017/3/23,36.57,43.65
2017/3/24,36.55,43.85
2017/3/27,36.74,43.5
2017/3/28,36.73,43.8
2017/3/29,36.78,43.8
2017/3/30,36.75,44.05
2017/3/31,37.01,43.5
2017/4/5,37.1,43.3
2017/4/6,36.96,43
2017/4/7,36.6,42.85
2017/4/10,36.45,42.5
2017/4/11,36.19,42.3
2017/4/12,36.01,42.5
2017/4/13,35.9,42.35
2017/4/18,35.7,42
2017/4/19,35.51,41.9
2017/4/20,35.8,42.05
2017/4/21,36.09,42
2017/4/24,36.17,42.4
2017/4/25,36.48,43.2
2017/4/26,37.51,43.55
2017/4/27,37.82,44
2017/4/28,37.96,43.8
2017/5/2,37.91,43.7
2017/5/4,37.82,43.55
2017/5/5,37.26,42.95
2017/5/8,37.79,43.1
2017/5/9,37.99,43.85
2017/5/10,39.84,45.5
2017/5/11,39.77,45.65
2017/5/12,40.95,46.05
2017/5/15,40.9,46.8
2017/5/16,41.09,46.9
2017/5/17,40.42,46.8
2017/5/18,40.62,46.1
2017/5/19,41.01,46.3
2017/5/22,42.84,48.2
2017/5/23,43.17,48.5
2017/5/24,43.03,48.5
2017/5/25,45.49,50.15
2017/5/26,45.18,50
2017/5/31,45.07,49.95
2017/6/1,45.97,50.45
2017/6/2,44.96,50.7
2017/6/5,44.67,50.2
2017/6/6,46.03,50.85
2017/6/7,45.98,50.9
2017/6/8,47.62,52
2017/6/9,48.14,52.05
2017/6/12,48.93,51.5
2017/6/13,48.44,51.75
2017/6/14,47.21,51.25
2017/6/15,46.18,50.15
2017/6/16,46.7,50.15
2017/6/19,48.56,52.15
2017/6/20,48.1,51.9
2017/6/21,49.43,52
2017/6/22,49.14,52.25
2017/6/23,49.72,52.3
2017/6/26,49.72,53.1
2017/6/27,49.92,52.95
2017/6/28,48.61,52
2017/6/29,49.96,52.25
2017/6/30,49.61,51.45
2017/7/3,48.94,52.65
2017/7/4,47.92,51.9
2017/7/5,50.42,53.8
2017/7/6,51.39,54.35
2017/7/7,51.01,54.1
2017/7/10,51.13,54.8
2017/7/11,51.23,55.1
2017/7/12,50.61,54.85
2017/7/13,51.63,56.2
2017/7/14,52.77,57.2
2017/7/17,53.9,58.5
2017/7/18,53.47,58.75
