date,signal,usdtwd,usdkrw
2019-03-05,1,-1130.18317770183,1125.81
2019-03-06,-1,1132.7126096352,-1128.38
2019-03-07,-1,1139.2082882198,-1134.87
2019-03-08,1,-1138.28070644056,1133.9
2019-03-11,1,-1136.17264185169,1131.77
2019-03-12,1,-1132.85368521647,1128.44
2019-03-13,-1,1134.86584736042,-1130.5
2019-03-14,-1,1140.75157552451,-1136.42
2019-03-15,-1,1140.05595334595,-1135.7
2019-03-18,0,-0,0
2019-03-19,1,-1135.3603819917,1130.96
2019-03-20,1,-1130.46433220354,1126.05
2019-03-21,0,-0,0
2019-03-22,-1,1140.46363906659,-1136.11
2019-03-25,1,-1137.29046497616,1132.86
2019-03-26,-1,1140.25749867802,-1135.87
2019-03-27,-1,1143.63043984179,-1139.24
2019-03-28,1,-1140.39875122417,1135.95
2019-03-29,-1,1141.79725532536,-1137.4
2019-04-01,1,-1138.15881777913,1133.72
2019-04-02,-1,1141.83078154978,-1137.42
2019-04-03,1,-1139.11573883245,1134.67
2019-04-04,-1,1140.74643627051,-1136.33
2019-04-05,-1,1142.10508535432,-1137.69
2019-04-08,-1,1146.5086558895,-1142.11
2019-04-09,1,-1145.52556643688,1141.08
2019-04-10,1,-1142.44011594877,1137.97
2019-04-11,-1,1146.37201737185,-1141.96
2019-04-12,1,-1139.24312593356,1134.72
2019-04-15,1,-1139.56390995946,1135.1
2019-04-16,-1,1142.11229627806,-1137.69
2019-04-17,1,-1136.76993846752,1132.28
2019-04-18,-1,1141.55600317543,-1137.11
2019-04-19,0,-0,0
2019-04-22,-1,1145.43506500779,-1140.99
2019-04-23,-1,1147.57515419715,-1143.11
2019-04-24,-1,1160.43710111269,-1156.05
2019-04-25,-1,1164.47268595204,-1160.01
2019-04-26,1,-1163.41042807603,1158.9
2019-04-29,-1,1164.36745835377,-1159.88
2019-04-30,-1,1168.69651466279,-1164.25
2019-05-01,-1,1170.21977372756,-1165.73
2019-05-02,-1,1171.52704881808,-1167.06
2019-05-03,1,-1168.83618521371,1164.33
2019-05-06,-1,1173.619968622,-1169.15
2019-05-07,-1,1176.82634228346,-1172.35
2019-05-08,0,-0,0
2019-05-09,-1,1184.55259096836,-1180.09
2019-05-10,1,-1179.7564778075,1175.2
2019-05-13,-1,1193.3091526392,-1188.78
2019-05-14,1,-1192.44445100054,1187.82
2019-05-15,-1,1191.35386822747,-1186.79
2019-05-16,-1,1196.91330569065,-1192.33
2019-05-17,1,-1199.31675415692,1194.73
2019-05-20,1,-1199.28785778315,1194.73
2019-05-21,1,-1197.35658077888,1192.78
2019-05-22,1,-1195.3389898415,1190.78
2019-05-23,1,-1194.36221136311,1189.8
2019-05-24,1,-1190.32335462485,1185.77
2019-05-27,0,-0,0
2019-05-28,-1,1193.46355218698,-1188.94
2019-05-29,-1,1198.52347770639,-1194.03
2019-05-30,1,-1194.31340959849,1189.73
2019-05-31,-1,1193.33126778389,-1188.8
2019-06-03,1,-1184.25462796292,1179.64
2019-06-04,0,-0,0
2019-06-05,-1,1185.3873512477,-1180.84
2019-06-06,0,-0,0
2019-06-07,-1,1186.63560527044,-1182.07
2019-06-10,-1,1188.575643459,-1184.02
2019-06-11,1,-1183.83857750838,1179.21
2019-06-12,-1,1188.07765682996,-1183.53
2019-06-13,1,-1187.91278775451,1183.32
2019-06-14,-1,1191.43163956582,-1186.88
2019-06-17,0,-0,0
2019-06-18,1,-1179.5517575612,1174.87
2019-06-19,-1,1177.04317917149,-1172.48
2019-06-20,1,-1164.16044565724,1159.42
2019-06-21,0,-0,0
2019-06-24,1,-1159.40112855757,1154.67
2019-06-25,1,-1160.86426253184,1156.17
2019-06-26,-1,1159.3162353861,-1154.67
2019-06-27,-1,1161.74343852081,-1157.12
2019-06-28,-1,1161.00875340267,-1156.38
2019-07-01,-1,1166.37671849125,-1161.77
2019-07-02,-1,1172.0541641344,-1167.47
2019-07-03,-1,1175.36082493041,-1170.72
2019-07-04,1,-1172.99175471382,1168.34
2019-07-05,-1,1179.66542147158,-1175.02
2019-07-08,-1,1185.53561913858,-1180.94
2019-07-09,-1,1187.84174761132,-1183.22
2019-07-10,1,-1181.25648479806,1176.57
2019-07-11,1,-1179.83431154155,1175.16
2019-07-12,-1,1181.97774527114,-1177.32
2019-07-15,-1,1185.0440463308,-1180.41
2019-07-16,1,-1184.31127398629,1179.63
2019-07-17,-1,1185.26836995784,-1180.62
2019-07-18,1,-1177.52516525324,1172.78
2019-07-19,-1,1180.79869870146,-1176.11
2019-07-22,0,-0,0
2019-07-23,-1,1184.56953444854,-1179.89
2019-07-24,1,-1183.12390704585,1178.41
2019-07-25,-1,1188.79406770587,-1184.16
2019-07-26,0,-0,0
2019-07-29,1,-1188.40969080802,1183.71
2019-07-30,1,-1186.09926674266,1181.38
2019-07-31,-1,1192.99437682912,-1188.32
2019-08-01,-1,1201.09662110693,-1196.38
2019-08-02,-1,1209.33527648604,-1204.61
2019-08-05,-1,1223.112858951,-1218.33
2019-08-06,-1,1218.17164604531,-1213.43
2019-08-07,-1,1217.78656030171,-1213.02
2019-08-08,-1,1212.84496818585,-1208.08
2019-08-09,-1,1219.20169369115,-1214.45
2019-08-12,-1,1223.91916791875,-1219.14
2019-08-13,0,-0,0
2019-08-14,0,-0,0
2019-08-15,-1,1218.11644474864,-1213.33
2019-08-16,1,-1213.31872068121,1208.47
2019-08-19,-1,1217.40048323082,-1212.62
2019-08-20,1,-1211.26694319772,1206.4
2019-08-21,1,-1207.29995643108,1202.44
2019-08-22,-1,1215.18248374361,-1210.42
2019-08-23,-1,1218.48049066355,-1213.66
2019-08-26,-1,1217.56179998038,-1212.74
2019-08-27,1,-1217.57808573617,1212.74
2019-08-28,-1,1218.10738167751,-1213.29
2019-08-29,1,-1213.96067540316,1209.12
2019-08-30,-1,1215.32273579027,-1210.5
2019-09-02,-1,1219.42896863528,-1214.61
2019-09-03,1,-1216.4068861943,1211.54
2019-09-04,1,-1209.52655879148,1204.63
2019-09-05,1,-1202.96079636715,1198.02
2019-09-06,1,-1197.68017392657,1192.77
2019-09-09,1,-1197.82199726374,1192.93
2019-09-10,1,-1196.40869905999,1191.51
2019-09-11,-1,1195.54572291199,-1190.68
2019-09-12,0,-0,0
2019-09-13,1,-1184.63202212227,1179.72
2019-09-16,-1,1189.82279912743,-1185.02
2019-09-17,-1,1192.47134767785,-1187.62
2019-09-18,-1,1196.57059883366,-1191.73
2019-09-19,-1,1200.20070916735,-1195.35
2019-09-20,1,-1199.01414874051,1194.13
2019-09-23,-1,1199.89953610447,-1195.04
2019-09-24,1,-1200.41597966886,1195.53
2019-09-25,-1,1204.6245179129,-1199.82
2019-09-26,-1,1205.30781325043,-1200.46
2019-09-27,-1,1207.82216345775,-1202.99
2019-09-30,1,-1203.98779460575,1199.09
2019-10-01,-1,1208.20511985677,-1203.37
2019-10-02,-1,1210.1688248228,-1205.37
2019-10-03,1,-1206.75102651275,1201.89
2019-10-04,1,-1197.2064040635,1192.25
2019-10-07,-1,1202.17623766402,-1197.33
2019-10-08,-1,1204.82779474271,-1200.02
2019-10-09,-1,1203.34266105739,-1198.5
2019-10-10,1,-1195.3880816809,1190.46
2019-10-11,1,-1188.45187128202,1183.48
2019-10-14,-1,1189.576646277,-1184.7
2019-10-15,0,-0,0
2019-10-16,1,-1191.41490521269,1186.51
2019-10-17,1,-1184.04508333867,1179.07
2019-10-18,-1,1183.78393522845,-1178.91
2019-10-21,1,-1177.46731127033,1172.49
2019-10-22,1,-1178.02019913095,1173.09
2019-10-23,1,-1175.60855862143,1170.67
2019-10-24,-1,1180.08669917035,-1175.21
2019-10-25,1,-1176.76725597095,1171.82
2019-10-28,1,-1173.56727259524,1168.61
2019-10-29,-1,1172.4611250678,-1167.55
2019-10-30,-1,1170.28457885834,-1165.41
2019-10-31,-1,1175.13583734464,-1170.24
2019-11-01,1,-1169.76207733547,1164.8
2019-11-04,0,-0,0
2019-11-05,1,-1161.81249765283,1156.82
2019-11-06,-1,1166.44904922306,-1161.58
2019-11-07,1,-1160.29143347486,1155.31
2019-11-08,-1,1163.69066082822,-1158.76
2019-11-11,-1,1170.33832832528,-1165.45
2019-11-12,1,-1171.48845128731,1166.53
2019-11-13,-1,1176.42703791171,-1171.51
2019-11-14,1,-1174.05929516012,1169.08
2019-11-15,1,-1168.66901540711,1163.65
2019-11-18,-1,1172.15864281785,-1167.23
2019-11-19,-1,1173.30941541064,-1168.35
2019-11-20,-1,1175.74714036843,-1170.82
2019-11-21,-1,1181.74733018459,-1176.86
2019-11-22,-1,1185.26846379101,-1180.33
2019-11-25,1,-1178.91998243261,1173.9
2019-11-26,1,-1178.30786687177,1173.32
2019-11-27,-1,1181.90800427504,-1176.97
2019-11-28,-1,1183.76122760994,-1178.82
2019-11-29,-1,1186.65826046905,-1181.7
2019-12-02,-1,1190.68084527321,-1185.78
2019-12-03,-1,1194.97048208541,-1190.06
2019-12-04,-1,1196.23782722816,-1191.32
2019-12-05,1,-1193.89189365206,1188.92
