date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-11-08,0,-0,0,-1,1497.46882477424,-1497.53,-1,5849.51204792374,-5849.63
2005-11-09,0,-0,0,1,-1488.33232579555,1487.71,1,-5970.94386891778,5971.06
2005-11-10,0,-0,0,1,-1484.88980988931,1484.68,1,-5988.25205654664,5988.37
2005-11-11,-1,4935.34000102966,-4935.34,-1,1494.47601209026,-1494.56,1,-6075.14331692385,6075.26
2005-11-14,0,-0,0,1,-1480.87421104697,1480.42,-1,6083.49998397784,-6083.62
2005-11-15,0,-0,0,1,-1472.73860291051,1472.47,0,-0,0
2005-11-16,0,-0,0,-1,1486.0980168598,-1486.34,0,-0,0
2005-11-17,0,-0,0,1,-1510.37539475922,1510.33,-1,6020.81730895645,-6020.94
2005-11-18,0,-0,0,1,-1531.68735253084,1531.65,1,-6106.62118899884,6106.74
2005-11-21,0,-0,0,1,-1527.99076734352,1527.56,0,-0,0
2005-11-22,0,-0,0,1,-1526.72450989241,1526.54,-1,6059.06760063411,-6059.19
2005-11-23,0,-0,0,1,-1526.54781175457,1526.54,1,-6123.4015857354,6123.52
2005-11-24,0,-0,0,1,-1518.1659594102,1517.64,-1,6111.76682604348,-6111.89
2005-11-25,0,-0,0,-1,1529.3673630412,-1529.67,0,-0,0
2005-11-28,0,-0,0,1,-1543.71227714164,1543.43,0,-0,0
2005-11-29,-1,5035.38000002227,-5035.38,-1,1544.28281789674,-1544.57,-1,6139.38395133038,-6139.51
2005-11-30,0,-0,0,1,-1536.30663170439,1536.21,1,-6203.34907435673,6203.47
2005-12-01,0,-0,0,1,-1559.9379546995,1559.81,0,-0,0
2005-12-02,0,-0,0,1,-1583.96165532878,1583.72,1,-6228.82932888431,6228.95
2005-12-05,0,-0,0,-1,1597.55906777172,-1597.57,0,-0,0
2005-12-06,0,-0,0,-1,1591.0709712056,-1591.34,-1,6350.39466767095,-6350.52
2005-12-07,1,-5163.10995567075,5163.11,-1,1598.54384091001,-1598.59,1,-6329.39627831067,6329.52
2005-12-08,1,-5175.0899301418,5175.09,-1,1568.67832159485,-1568.73,-1,6249.06320017495,-6249.19
2005-12-09,0,-0,0,1,-1591.23967454514,1591.23,-1,6264.23301930904,-6264.36
2005-12-12,0,-0,0,1,-1617.82958332663,1617.52,-1,6266.16406238982,-6266.29
2005-12-13,0,-0,0,-1,1625.99394037872,-1626.15,1,-6261.0552899443,6261.18
2005-12-14,0,-0,0,-1,1601.87708664937,-1602.21,-1,6235.22302134985,-6235.35
2005-12-15,0,-0,0,-1,1583.51914664865,-1583.66,-1,6258.34357333722,-6258.47
2005-12-16,0,-0,0,-1,1580.55143121819,-1580.78,1,-6350.56538953252,6350.69
